timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603191159766,425,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,3447,230,3,6,https://blazedemo.com/,141,0,16
1603191159766,141,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,219,115,3,6,http://blazedemo.com/,141,0,16
1603191159907,284,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,3228,115,3,6,https://blazedemo.com/,284,0,44
1603191159965,568,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-49,text,true,,3447,230,4,8,https://blazedemo.com/,157,0,22
1603191159965,157,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-49,text,true,,219,115,4,8,http://blazedemo.com/,157,0,22
1603191160122,411,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Load test 3-49,text,true,,3228,115,4,8,https://blazedemo.com/,410,0,52
1603191160192,462,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,3447,230,5,10,https://blazedemo.com/,140,0,17
1603191160192,140,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,219,115,5,10,http://blazedemo.com/,140,0,17
1603191160332,322,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,3228,115,5,10,https://blazedemo.com/,310,0,63
1603191160165,530,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-48,text,true,,3447,230,5,10,https://blazedemo.com/,137,0,15
1603191160165,137,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-48,text,true,,219,115,5,10,http://blazedemo.com/,137,0,15
1603191160303,392,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Load test 3-48,text,true,,3228,115,5,10,https://blazedemo.com/,391,0,54
1603191160365,642,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-47,text,true,,3447,230,7,14,https://blazedemo.com/,156,0,29
1603191160365,156,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-47,text,true,,219,115,7,14,http://blazedemo.com/,156,0,29
1603191160522,485,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Load test 3-47,text,true,,3228,115,7,14,https://blazedemo.com/,485,0,72
1603191160534,499,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-49,text,true,,3447,230,7,14,https://blazedemo.com/,151,0,31
1603191160534,151,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-49,text,true,,219,115,7,14,http://blazedemo.com/,151,0,31
1603191160685,348,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Load test 3-49,text,true,,3228,115,7,14,https://blazedemo.com/,347,0,49
1603191160566,509,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-46,text,true,,3447,230,7,14,https://blazedemo.com/,150,0,24
1603191160566,150,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-46,text,true,,219,115,7,14,http://blazedemo.com/,150,0,24
1603191160716,359,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Load test 3-46,text,true,,3228,115,7,14,https://blazedemo.com/,358,0,51
1603191160654,529,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,3447,230,8,16,https://blazedemo.com/,138,0,10
1603191160654,138,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,219,115,8,16,http://blazedemo.com/,138,0,10
1603191160792,391,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Load test 3-50,text,true,,3228,115,8,16,https://blazedemo.com/,391,0,41
1603191160764,449,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Load test 3-45,text,true,,3447,230,8,16,https://blazedemo.com/,139,0,19
1603191160764,139,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Load test 3-45,text,true,,219,115,8,16,http://blazedemo.com/,139,0,19
