timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603191169610,536,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-149,text,true,,3447,230,18,118,https://blazedemo.com/,168,0,20
1603191169610,168,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-149,text,true,,219,115,18,118,http://blazedemo.com/,168,0,20
1603191169778,368,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-149,text,true,,3228,115,18,118,https://blazedemo.com/,367,0,69
1603191169678,519,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-147,text,true,,3447,230,19,119,https://blazedemo.com/,152,0,19
1603191169678,152,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-147,text,true,,219,115,19,119,http://blazedemo.com/,152,0,19
1603191169831,366,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-147,text,true,,3228,115,19,119,https://blazedemo.com/,366,0,73
1603191169745,480,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-145,text,true,,3447,230,20,120,https://blazedemo.com/,175,0,33
1603191169745,175,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-145,text,true,,219,115,20,120,http://blazedemo.com/,175,0,33
1603191169921,304,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-145,text,true,,3228,115,20,120,https://blazedemo.com/,303,0,51
1603191169814,502,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-143,text,true,,3447,230,23,123,https://blazedemo.com/,148,0,17
1603191169814,148,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-143,text,true,,219,115,23,123,http://blazedemo.com/,148,0,17
1603191169963,353,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-143,text,true,,3228,115,23,123,https://blazedemo.com/,352,0,67
1603191169878,556,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-141,text,true,,3447,230,26,126,https://blazedemo.com/,159,0,25
1603191169878,159,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-141,text,true,,219,115,26,126,http://blazedemo.com/,159,0,25
1603191170037,397,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-141,text,true,,3228,115,26,126,https://blazedemo.com/,397,0,142
1603191170010,527,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-137,text,true,,3447,230,29,129,https://blazedemo.com/,194,0,33
1603191170010,194,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-137,text,true,,219,115,29,129,http://blazedemo.com/,194,0,33
1603191170204,333,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-137,text,true,,3228,115,29,129,https://blazedemo.com/,332,0,98
1603191170044,566,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-136,text,true,,3451,230,31,131,https://blazedemo.com/,180,0,31
1603191170044,180,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-136,text,true,,223,115,31,131,http://blazedemo.com/,180,0,31
1603191170224,386,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-136,text,true,,3228,115,31,131,https://blazedemo.com/,386,0,84
1603191169910,777,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-140,text,true,,3447,230,34,134,https://blazedemo.com/,165,0,20
1603191169910,165,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-140,text,true,,219,115,34,134,http://blazedemo.com/,165,0,20
1603191170075,612,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-140,text,true,,3228,115,34,134,https://blazedemo.com/,612,0,156
1603191170083,624,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-135,text,true,,3447,230,34,134,https://blazedemo.com/,234,0,86
1603191170083,234,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-135,text,true,,219,115,34,134,http://blazedemo.com/,234,0,86
1603191170318,389,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-135,text,true,,3228,115,34,134,https://blazedemo.com/,389,0,87
1603191169977,762,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-138,text,true,,3447,230,35,135,https://blazedemo.com/,212,0,26
1603191169977,212,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-138,text,true,,219,115,35,135,http://blazedemo.com/,212,0,26
1603191170189,550,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-138,text,true,,3228,115,35,135,https://blazedemo.com/,550,0,109
1603191170179,575,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-132,text,true,,3447,230,36,136,https://blazedemo.com/,187,0,45
1603191170179,187,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-132,text,true,,219,115,36,136,http://blazedemo.com/,187,0,45
1603191170367,387,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-132,text,true,,3228,115,36,136,https://blazedemo.com/,387,0,100
1603191170147,636,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-149,text,true,,3447,230,37,137,https://blazedemo.com/,189,0,53
1603191170147,189,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-149,text,true,,219,115,37,137,http://blazedemo.com/,189,0,53
1603191170336,447,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-149,text,true,,3228,115,37,137,https://blazedemo.com/,447,0,72
1603191170211,626,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-131,text,true,,3447,230,38,138,https://blazedemo.com/,178,0,32
1603191170211,178,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-131,text,true,,219,115,38,138,http://blazedemo.com/,178,0,32
1603191170390,447,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-131,text,true,,3228,115,38,138,https://blazedemo.com/,447,0,87
1603191170198,642,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-147,text,true,,3447,230,38,138,https://blazedemo.com/,204,0,36
1603191170198,204,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-147,text,true,,219,115,38,138,http://blazedemo.com/,204,0,36
1603191170402,438,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-147,text,true,,3228,115,38,138,https://blazedemo.com/,436,0,88
1603191170145,702,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-133,text,true,,3447,230,39,139,https://blazedemo.com/,204,0,59
1603191170145,204,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Spike test 2-133,text,true,,219,115,39,139,http://blazedemo.com/,204,0,59
1603191170349,498,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-133,text,true,,3228,115,39,139,https://blazedemo.com/,497,0,68
1603191170317,572,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Spike test 2-143,text,true,,3447,230,40,140,https://blazedemo.com/,170,0,32
