timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603191159738,604,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-50,text,true,,3447,230,4,7,https://blazedemo.com/,165,0,42
1603191159738,165,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Stress test 1-50,text,true,,219,115,4,7,http://blazedemo.com/,165,0,42
1603191159903,439,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-50,text,true,,3228,115,4,7,https://blazedemo.com/,438,0,40
1603191159937,578,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-49,text,true,,3447,230,4,8,https://blazedemo.com/,134,0,12
1603191159937,134,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Stress test 1-49,text,true,,219,115,4,8,http://blazedemo.com/,134,0,12
1603191160071,444,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-49,text,true,,3228,115,4,8,https://blazedemo.com/,442,0,52
1603191160137,449,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-48,text,true,,3447,230,5,10,https://blazedemo.com/,134,0,13
1603191160137,134,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Stress test 1-48,text,true,,219,115,5,10,http://blazedemo.com/,134,0,13
1603191160271,315,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-48,text,true,,3228,115,5,10,https://blazedemo.com/,306,0,47
1603191160343,538,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-50,text,true,,3447,230,6,12,https://blazedemo.com/,159,0,27
1603191160343,159,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Stress test 1-50,text,true,,219,115,6,12,http://blazedemo.com/,159,0,27
1603191160502,379,HTTP Request-1,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-50,text,true,,3228,115,6,12,https://blazedemo.com/,373,0,74
1603191160535,472,HTTP Request,200,OK,jp@gc - Ultimate Thread Group - Stress test 1-46,text,true,,3447,230,7,14,https://blazedemo.com/,160,0,31
1603191160535,160,HTTP Request-0,302,Found,jp@gc - Ultimate Thread Group - Stress test 1-46,text,true,,219,115,7,14,http://blazedemo.com/,160,0,31
